"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"№","Идентификационный код ценной бумаги","Полное фирменное наименование эмитента ценных бумаг","Вид, категория (тип) ценной бумаги","Международный код (номер) идентификации ценных бумаг (ISIN)","Дата возобновления торгов с 10:00 мск"
"1","A","Agilent Technologies, Inc.","Акции иностранного эмитента обыкновенные","US00846U1016","17.08.2022"
"2","AA","Alcoa Corporation","Акции иностранного эмитента обыкновенные","US0138721065","10.08.2022"
"3","AAPL","Apple Inc.","Акции иностранного эмитента обыкновенные","US0378331005","10.08.2022"
"4","ABBV","AbbVie Inc.","Акции иностранного эмитента обыкновенные","US00287Y1091","10.08.2022"
"5","ABNB","Airbnb, Inc.","Акции иностранного эмитента обыкновенные класса A","US0090661010","10.08.2022"
"6","ABT","Abbott Laboratories","Акции иностранного эмитента обыкновенные","US0028241000","10.08.2022"
"7","ACAD","ACADIA Pharmaceuticals Inc.","Акции иностранного эмитента обыкновенные","US0042251084","10.08.2022"
"8","ADBE","Adobe Inc.","Акции иностранного эмитента обыкновенные","US00724F1012","10.08.2022"
"9","ADI","Analog Devices, Inc.","Акции иностранного эмитента обыкновенные","US0326541051","24.08.2022"
"10","ADM","Archer-Daniels-Midland Company","Акции иностранного эмитента обыкновенные","US0394831020","17.08.2022"
"11","ADP","Automatic Data Processing, Inc.","Акции иностранного эмитента обыкновенные","US0530151036","24.08.2022"
"12","ADPT","Adaptive Biotechnologies Corporation","Акции иностранного эмитента обыкновенные","US00650F1093","17.08.2022"
"13","ADSK","Autodesk, Inc.","Акции иностранного эмитента обыкновенные","US0527691069","10.08.2022"
"14","AEE","Ameren Corporation","Акции иностранного эмитента обыкновенные","US0236081024","24.08.2022"
"15","AEM","Agnico Eagle Mines Limited","Акции иностранного эмитента обыкновенные","CA0084741085","17.08.2022"
"16","AES","The AES Corporation","Акции иностранного эмитента обыкновенные","US00130H1059","24.08.2022"
"17","AFL","Aflac Incorporated","Акции иностранного эмитента обыкновенные","US0010551028","17.08.2022"
"18","AFRM","Affirm Holdings, Inc.","Акции иностранного эмитента обыкновенные класса A","US00827B1061","10.08.2022"
"19","AGNC","AGNC Investment Corp.","Акции иностранного эмитента обыкновенные","US00123Q1040","24.08.2022"
"20","AIG","American International Group, Inc.","Акции иностранного эмитента обыкновенные","US0268747849","17.08.2022"
"21","AKAM","Akamai Technologies, Inc.","Акции иностранного эмитента обыкновенные","US00971T1016","10.08.2022"
"22","ALB","Albemarle Corporation","Акции иностранного эмитента обыкновенные","US0126531013","10.08.2022"
"23","ALK","Alaska Air Group, Inc.","Акции иностранного эмитента обыкновенные","US0116591092","24.08.2022"
"24","ALL","The Allstate Corporation","Акции иностранного эмитента обыкновенные","US0200021014","17.08.2022"
"25","ALLY","Ally Financial Inc.","Акции иностранного эмитента обыкновенные","US02005N1000","24.08.2022"
"26","AMAT","Applied Materials, Inc.","Акции иностранного эмитента обыкновенные","US0382221051","10.08.2022"
"27","AMD","Advanced Micro Devices, Inc.","Акции иностранного эмитента обыкновенные","US0079031078","10.08.2022"
"28","AMGN","Amgen Inc.","Акции иностранного эмитента обыкновенные","US0311621009","17.08.2022"
"29","AMT","American Tower Corporation","Акции иностранного эмитента обыкновенные","US03027X1000","24.08.2022"
"30","AMZN","Amazon.com, Inc.","Акции иностранного эмитента обыкновенные","US0231351067","10.08.2022"
"31","ANET","Arista Networks, Inc.","Акции иностранного эмитента обыкновенные","US0404131064","17.08.2022"
"32","APA","APA Corporation","Акции иностранного эмитента обыкновенные","US03743Q1085","10.08.2022"
"33","APLE","Apple Hospitality REIT, Inc.","Акции иностранного эмитента обыкновенные","US03784Y2000","24.08.2022"
"34","APP","AppLovin Corporation","Акции иностранного эмитента обыкновенные класса A","US03831W1080","17.08.2022"
"35","APPS","Digital Turbine, Inc.","Акции иностранного эмитента обыкновенные","US25400W1027","10.08.2022"
"36","APTV","Aptiv PLC","Акции иностранного эмитента обыкновенные","JE00B783TY65","24.08.2022"
"37","ARRY","Array Technologies, Inc.","Акции иностранного эмитента обыкновенные","US04271T1007","17.08.2022"
"38","ATUS","Altice USA, Inc.","Акции иностранного эмитента обыкновенные класса A","US02156K1034","10.08.2022"
"39","ATVI","Activision Blizzard, Inc.","Акции иностранного эмитента обыкновенные","US00507V1098","10.08.2022"
"40","AVGO","Broadcom Inc.","Акции иностранного эмитента обыкновенные","US11135F1012","10.08.2022"
"41","AVTR","Avantor, Inc.","Акции иностранного эмитента обыкновенные","US05352A1007","24.08.2022"
"42","AXP","American Express Company","Акции иностранного эмитента обыкновенные","US0258161092","10.08.2022"
"43","AZN","Deutsche Bank Trust Company Americas","Депозитарные расписки Deutsche Bank Trust Company Americas, удостоверяющие права в отношении обыкновенных акций AstraZeneca PLC","US0463531089","17.08.2022"
"44","BA","THE BOEING COMPANY","Акции иностранного эмитента обыкновенные","US0970231058","10.08.2022"
"45","BABA","Citibank, N.A.","Депозитарные расписки Citibank, N.A., удостоверяющие права в отношении обыкновенных акций Alibaba Group Holding Limited","US01609W1027","10.08.2022"
"46","BAH","Booz Allen Hamilton Holding Corporation","Акции иностранного эмитента обыкновенные класса A","US0995021062","24.08.2022"
"47","BALL","Ball Corporation","Акции иностранного эмитента обыкновенные","US0584981064","17.08.2022"
"48","BAX","Baxter International Inc.","Акции иностранного эмитента обыкновенные","US0718131099","24.08.2022"
"49","BBWI","Bath & Body Works, Inc.","Акции иностранного эмитента обыкновенные","US0708301041","17.08.2022"
"50","BBY","Best Buy Co., Inc.","Акции иностранного эмитента обыкновенные","US0865161014","10.08.2022"
"51","BEN","Franklin Resources, Inc.","Акции иностранного эмитента обыкновенные","US3546131018","24.08.2022"
"52","BIDU","The Bank of New York Mellon","Депозитарные расписки The Bank of New York Mellon, удостоверяющие права в отношении обыкновенных акций класса A Baidu, Inc.","US0567521085","10.08.2022"
"53","BIGC","BigCommerce Holdings, Inc.","Акции иностранного эмитента обыкновенные серии 1","US08975P1084","17.08.2022"
"54","BJ","BJ's Wholesale Club Holdings, Inc.","Акции иностранного эмитента обыкновенные","US05550J1016","24.08.2022"
"55","BK","The Bank of New York Mellon Corporation","Акции иностранного эмитента обыкновенные","US0640581007","17.08.2022"
"56","BKR","Baker Hughes Company","Акции иностранного эмитента обыкновенные класса A","US05722G1004","10.08.2022"
"57","BLDR","Builders FirstSource, Inc.","Акции иностранного эмитента обыкновенные","US12008R1077","24.08.2022"
"58","BLK","BlackRock, Inc.","Акции иностранного эмитента обыкновенные","US09247X1019","10.08.2022"
"59","BMRN","BioMarin Pharmaceutical Inc.","Акции иностранного эмитента обыкновенные","US09061G1013","17.08.2022"
"60","BMY","Bristol-Myers Squibb Company","Акции иностранного эмитента обыкновенные","US1101221083","10.08.2022"
"61","BSX","Boston Scientific Corporation","Акции иностранного эмитента обыкновенные","US1011371077","24.08.2022"
"62","BUD","The Bank of New York Mellon","Депозитарные расписки The Bank of New York Mellon, удостоверяющие права в отношении обыкновенных акций Anheuser-Busch InBev SA/NV","US03524A1088","17.08.2022"
"63","BURL","Burlington Stores, Inc.","Акции иностранного эмитента обыкновенные","US1220171060","24.08.2022"
"64","BX","Blackstone Inc.","Акции иностранного эмитента обыкновенные","US09260D1072","17.08.2022"
"65","BZUN","JPMorgan Chase Bank, N.A.","Депозитарные расписки JPMorgan Chase Bank, N.A., удостоверяющие права в отношении обыкновенных акций класса A Baozun Inc.","US06684L1035","10.08.2022"
"66","C","Citigroup Inc.","Акции иностранного эмитента обыкновенные","US1729674242","10.08.2022"
"67","CAG","Conagra Brands, Inc.","Акции иностранного эмитента обыкновенные","US2058871029","24.08.2022"
"68","CAH","Cardinal Health, Inc.","Акции иностранного эмитента обыкновенные","US14149Y1082","17.08.2022"
"69","CARR","Carrier Global Corporation","Акции иностранного эмитента обыкновенные","US14448C1045","24.08.2022"
"70","CAT","Caterpillar Inc.","Акции иностранного эмитента обыкновенные","US1491231015","10.08.2022"
"71","CB","Chubb Limited","Акции иностранного эмитента обыкновенные","CH0044328745","17.08.2022"
"72","CC","The Chemours Company","Акции иностранного эмитента обыкновенные","US1638511089","24.08.2022"
"73","CCI","Crown Castle International Corp.","Акции иностранного эмитента обыкновенные","US22822V1017","17.08.2022"
"74","CCJ","Cameco Corporation","Акции иностранного эмитента обыкновенные","CA13321L1085","24.08.2022"
"75","CCL","Carnival Corporation","Акции иностранного эмитента обыкновенные","PA1436583006","10.08.2022"
"76","CCXI","ChemoCentryx, Inc.","Акции иностранного эмитента обыкновенные","US16383L1061","10.08.2022"
"77","CDNS","Cadence Design Systems, Inc.","Акции иностранного эмитента обыкновенные","US1273871087","17.08.2022"
"78","CF","CF Industries Holdings, Inc.","Акции иностранного эмитента обыкновенные","US1252691001","10.08.2022"
"79","CFG","Citizens Financial Group, Inc.","Акции иностранного эмитента обыкновенные","US1746101054","24.08.2022"
"80","CFLT","Confluent, Inc.","Акции иностранного эмитента обыкновенные класса A","US20717M1036","17.08.2022"
"81","CHGG","Chegg, Inc.","Акции иностранного эмитента обыкновенные","US1630921096","10.08.2022"
"82","CHRW","C.H. Robinson Worldwide, Inc.","Акции иностранного эмитента обыкновенные","US12541W2098","24.08.2022"
"83","CHTR","Charter Communications, Inc.","Акции иностранного эмитента обыкновенные класса A","US16119P1084","17.08.2022"
"84","CHX","ChampionX Corporation","Акции иностранного эмитента обыкновенные","US15872M1045","24.08.2022"
"85","CI","Cigna Corporation","Акции иностранного эмитента обыкновенные","US1255231003","17.08.2022"
"86","CIEN","Ciena Corporation","Акции иностранного эмитента обыкновенные","US1717793095","24.08.2022"
"87","CL","Colgate-Palmolive Company","Акции иностранного эмитента обыкновенные","US1941621039","10.08.2022"
"88","CLF","Cleveland-Cliffs Inc.","Акции иностранного эмитента обыкновенные","US1858991011","10.08.2022"
"89","CLX","The Clorox Company","Акции иностранного эмитента обыкновенные","US1890541097","17.08.2022"
"90","CMA","Comerica Incorporated","Акции иностранного эмитента обыкновенные","US2003401070","24.08.2022"
"91","CMCSA","Comcast Corporation","Акции иностранного эмитента обыкновенные класса A","US20030N1019","17.08.2022"
"92","CME","CME Group Inc.","Акции иностранного эмитента обыкновенные класса A","US12572Q1058","24.08.2022"
"93","CNC","Centene Corporation","Акции иностранного эмитента обыкновенные","US15135B1017","17.08.2022"
"94","CNK","Cinemark Holdings, Inc.","Акции иностранного эмитента обыкновенные","US17243V1026","10.08.2022"
"95","CNP","CenterPoint Energy, Inc.","Акции иностранного эмитента обыкновенные","US15189T1079","24.08.2022"
"96","CNX","CNX Resources Corporation","Акции иностранного эмитента обыкновенные","US12653C1080","17.08.2022"
"97","COF","Capital One Financial Corporation","Акции иностранного эмитента обыкновенные","US14040H1059","24.08.2022"
"98","COP","ConocoPhillips","Акции иностранного эмитента обыкновенные","US20825C1045","10.08.2022"
"99","COST","Costco Wholesale Corporation","Акции иностранного эмитента обыкновенные","US22160K1051","17.08.2022"
"100","COTY","Coty Inc.","Акции иностранного эмитента обыкновенные класса A","US2220702037","24.08.2022"
"101","COUP","Coupa Software Incorporated","Акции иностранного эмитента обыкновенные","US22266L1061","17.08.2022"
"102","CPB","Campbell Soup Company","Акции иностранного эмитента обыкновенные","US1344291091","24.08.2022"
"103","CPNG","Coupang, Inc.","Акции иностранного эмитента обыкновенные класса A","US22266T1097","10.08.2022"
"104","CPRI","Capri Holdings Limited","Акции иностранного эмитента обыкновенные","VGG1890L1076","17.08.2022"
"105","CRM","Salesforce, Inc.","Акции иностранного эмитента обыкновенные","US79466L3024","10.08.2022"
"106","CROX","Crocs, Inc.","Акции иностранного эмитента обыкновенные","US2270461096","10.08.2022"
"107","CRWD","CrowdStrike Holdings, Inc.","Акции иностранного эмитента обыкновенные класса A","US22788C1053","10.08.2022"
"108","CSCO","Cisco Systems, Inc.","Акции иностранного эмитента обыкновенные","US17275R1023","10.08.2022"
"109","CSX","CSX Corporation","Акции иностранного эмитента обыкновенные","US1264081035","24.08.2022"
"110","CTRA","Coterra Energy Inc.","Акции иностранного эмитента обыкновенные","US1270971039","17.08.2022"
"111","CTVA","Corteva, Inc.","Акции иностранного эмитента обыкновенные","US22052L1044","24.08.2022"
"112","CVS","CVS Health Corporation","Акции иностранного эмитента обыкновенные","US1266501006","10.08.2022"
"113","CVX","Chevron Corporation","Акции иностранного эмитента обыкновенные","US1667641005","10.08.2022"
"114","CZR","Caesars Entertainment, Inc.","Акции иностранного эмитента обыкновенные","US12769G1004","17.08.2022"
"115","D","Dominion Energy, Inc.","Акции иностранного эмитента обыкновенные","US25746U1097","24.08.2022"
"116","DAL","Delta Air Lines, Inc.","Акции иностранного эмитента обыкновенные","US2473617023","10.08.2022"
"117","DAR","Darling Ingredients Inc.","Акции иностранного эмитента обыкновенные","US2372661015","17.08.2022"
"118","DASH","DoorDash, Inc.","Акции иностранного эмитента обыкновенные класса A","US25809K1051","24.08.2022"
"119","DBX","Dropbox, Inc.","Акции иностранного эмитента обыкновенные класса A","US26210C1045","17.08.2022"
"120","DD","DuPont de Nemours, Inc.","Акции иностранного эмитента обыкновенные","US26614N1028","10.08.2022"
"121","DDD","3D Systems Corporation","Акции иностранного эмитента обыкновенные","US88554D2053","24.08.2022"
"122","DE","Deere & Company","Акции иностранного эмитента обыкновенные","US2441991054","10.08.2022"
"123","DELL","Dell Technologies Inc.","Акции иностранного эмитента обыкновенные класса C","US24703L2025","17.08.2022"
"124","DFS","Discover Financial Services","Акции иностранного эмитента обыкновенные","US2547091080","24.08.2022"
"125","DG","Dollar General Corporation","Акции иностранного эмитента обыкновенные","US2566771059","10.08.2022"
"126","DHI","D.R. Horton, Inc.","Акции иностранного эмитента обыкновенные","US23331A1097","10.08.2022"
"127","DHR","Danaher Corporation","Акции иностранного эмитента обыкновенные","US2358511028","10.08.2022"
"128","DINO","HF Sinclair Corporation","Акции иностранного эмитента обыкновенные","US4039491000","17.08.2022"
"129","DIS","The Walt Disney Company","Акции иностранного эмитента обыкновенные","US2546871060","10.08.2022"
"130","DISH","DISH Network Corporation","Акции иностранного эмитента обыкновенные класса A","US25470M1099","10.08.2022"
"131","DK","Delek US Holdings, Inc.","Акции иностранного эмитента обыкновенные","US24665A1034","24.08.2022"
"132","DKS","Dick's Sporting Goods, Inc.","Акции иностранного эмитента обыкновенные","US2533931026","17.08.2022"
"133","DLR","Digital Realty Trust, Inc.","Акции иностранного эмитента обыкновенные","US2538681030","24.08.2022"
"134","DLTR","Dollar Tree, Inc.","Акции иностранного эмитента обыкновенные","US2567461080","10.08.2022"
"135","DOCU","DocuSign, Inc.","Акции иностранного эмитента обыкновенные","US2561631068","10.08.2022"
"136","DOW","Dow Inc.","Акции иностранного эмитента обыкновенные","US2605571031","17.08.2022"
"137","DVN","Devon Energy Corporation","Акции иностранного эмитента обыкновенные","US25179M1036","10.08.2022"
"138","DXC","DXC Technology Company","Акции иностранного эмитента обыкновенные","US23355L1061","24.08.2022"
"139","DXCM","DexCom, Inc.","Акции иностранного эмитента обыкновенные","US2521311074","17.08.2022"
"140","EA","Electronic Arts Inc.","Акции иностранного эмитента обыкновенные","US2855121099","24.08.2022"
"141","EBAY","eBay Inc.","Акции иностранного эмитента обыкновенные","US2786421030","10.08.2022"
"142","ECL","Ecolab Inc.","Акции иностранного эмитента обыкновенные","US2788651006","10.08.2022"
"143","ED","Consolidated Edison, Inc.","Акции иностранного эмитента обыкновенные","US2091151041","17.08.2022"
"144","EIX","Edison International","Акции иностранного эмитента обыкновенные","US2810201077","24.08.2022"
"145","EL","The Estee Lauder Companies Inc.","Акции иностранного эмитента обыкновенные класса A","US5184391044","17.08.2022"
"146","ELAN","Elanco Animal Health Incorporated","Акции иностранного эмитента обыкновенные","US28414H1032","24.08.2022"
"147","EMR","Emerson Electric Co.","Акции иностранного эмитента обыкновенные","US2910111044","17.08.2022"
"148","ENPH","Enphase Energy, Inc.","Акции иностранного эмитента обыкновенные","US29355A1079","10.08.2022"
"149","ENTG","Entegris, Inc.","Акции иностранного эмитента обыкновенные","US29362U1043","24.08.2022"
"150","EOG","EOG Resources, Inc.","Акции иностранного эмитента обыкновенные","US26875P1012","10.08.2022"
"151","EQT","EQT Corporation","Акции иностранного эмитента обыкновенные","US26884L1098","10.08.2022"
"152","ES","Eversource Energy","Акции иностранного эмитента обыкновенные","US30040W1080","17.08.2022"
"153","ESTC","Elastic N.V.","Акции иностранного эмитента обыкновенные","NL0013056914","24.08.2022"
"154","ETRN","Equitrans Midstream Corporation","Акции иностранного эмитента обыкновенные","US2946001011","10.08.2022"
"155","ETSY","Etsy, Inc.","Акции иностранного эмитента обыкновенные","US29786A1060","10.08.2022"
"156","EW","Edwards Lifesciences Corporation","Акции иностранного эмитента обыкновенные","US28176E1082","17.08.2022"
"157","EXAS","Exact Sciences Corporation","Акции иностранного эмитента обыкновенные","US30063P1057","24.08.2022"
"158","EXC","Exelon Corporation","Акции иностранного эмитента обыкновенные","US30161N1019","17.08.2022"
"159","EXEL","Exelixis, Inc.","Акции иностранного эмитента обыкновенные","US30161Q1040","24.08.2022"
"160","EXPE","Expedia Group, Inc.","Акции иностранного эмитента обыкновенные","US30212P3038","17.08.2022"
"161","F","Ford Motor Company","Акции иностранного эмитента обыкновенные","US3453708600","10.08.2022"
"162","FANG","Diamondback Energy, Inc.","Акции иностранного эмитента обыкновенные","US25278X1090","24.08.2022"
"163","FAST","Fastenal Company","Акции иностранного эмитента обыкновенные","US3119001044","17.08.2022"
"164","FATE","Fate Therapeutics, Inc.","Акции иностранного эмитента обыкновенные","US31189P1021","10.08.2022"
"165","FBHS","Fortune Brands Home & Security, Inc.","Акции иностранного эмитента обыкновенные","US34964C1062","10.08.2022"
"166","FCX","Freeport-McMoRan Inc.","Акции иностранного эмитента обыкновенные","US35671D8570","10.08.2022"
